선수,연도,팀,연봉(만원),WAR
김찬호,2020,SK,"2,900",-0.04
신동민,2020,SK,"2,800",0.00
김성민,2020,SK,"2,700",0.04
류효승,2020,SK,"2,700",-0.15
최지훈,2020,SK,"2,700",1.71
이거연,2020,SK,"2,700",-0.05
나세원,2020,SK,"2,700",0.00
석호준,2020,SK,"2,700",0.00
양선률,2020,SK,"2,700",-0.03
이재성,2020,SK,"2,700",0.00
길지석,2020,SK,"2,700",0.00
박시후,2020,SK,"2,700",0.00
김태우,2020,SK,"2,700",0.00
김교람,2020,SK,"2,700",0.00
전의산,2020,SK,"2,700",0.00
김주온,2020,SK,"2,700",-0.16
윤강민,2020,SK,"2,700",-0.02
박성한,2020,SK,"2,700",0.34
권기영,2020,SK,"2,700",0.00
김정빈,2020,SK,"2,700",0.24
김민재,2020,SK,"2,700",0.00
최수빈,2020,SK,"2,700",0.00
현원회,2020,SK,"2,700",0.01
박준영,2020,SK,"2,700",0.00
오원석,2020,SK,"2,700",-0.09
김민준,2020,SK,"2,700",-0.16
이재관,2020,SK,"2,700",0.00
서상준,2020,SK,"2,700",0.00
김성민,2020,SK,"2,700",0.00
허민혁,2020,SK,"2,700",0.00
최재성,2020,SK,"2,700",0.00
김현수,2020,LG,"130,000",4.97
윌슨,2020,LG,"110,000",2.74
차우찬,2020,LG,"100,000",0.70
켈리,2020,LG,"90,000",5.57
박용택,2020,LG,"80,000",0.67
오지환,2020,LG,"60,000",7.41
김민성,2020,LG,"40,000",0.54
정근우,2020,LG,"35,000",-0.81
채은성,2020,LG,"32,000",1.99
라모스,2020,LG,"30,000",4.81
이천웅,2020,LG,"28,000",0.08
송은범,2020,LG,"27,000",0.21
진해수,2020,LG,"25,000",1.07
유강남,2020,LG,"23,000",1.37
고우석,2020,LG,"22,000",0.40
양석환,2020,LG,"21,000",0.33
이형종,2020,LG,"20,000",2.98
임찬규,2020,LG,"13,500",2.83
정찬헌,2020,LG,"13,000",3.07
정주현,2020,LG,"12,500",0.60
김대현,2020,LG,"12,000",-0.08
김지용,2020,LG,"11,000",-0.06
김용의,2020,LG,"10,500",0.47
이성우,2020,LG,"8,000",-0.17
정우영,2020,LG,"8,000",2.03
문광은,2020,LG,"7,500",-0.04
이우찬,2020,LG,"7,500",0.02
최동환,2020,LG,"7,000",0.95
여건욱,2020,LG,"7,000",-0.33
최재원,2020,LG,"6,000",-0.08
배재준,2020,LG,"5,700",0.00
전민수,2020,LG,"5,000",-0.07
이준형,2020,LG,"5,000",0.00
정용운,2020,LG,"5,000",-0.03
신민재,2020,LG,"5,000",0.38
최성훈,2020,LG,"4,700",0.73
김대유,2020,LG,"4,500",-0.06
구본혁,2020,LG,"4,000",-0.25
박지규,2020,LG,"4,000",-0.01
홍창기,2020,LG,"3,800",5.10
양종민,2020,LG,"3,600",0.00
백청훈,2020,LG,"3,500",-0.03
박재욱,2020,LG,"3,500",-0.28
장준원,2020,LG,"3,400",0.25
백승현,2020,LG,"3,400",0.00
한선태,2020,LG,"3,200",-0.02
류형우,2020,LG,"3,200",0.00
김재성,2020,LG,"3,100",0.00
류원석,2020,LG,"3,000",-0.25
박성준,2020,LG,"3,000",0.00
오석주,2020,LG,"3,000",0.00
이상영,2020,LG,"3,000",0.00
이진석,2020,LG,"2,900",0.00
김태형,2020,LG,"2,900",0.00
이상규,2020,LG,"2,900",-0.28
손호영,2020,LG,"2,700",-0.19
이민호,2020,LG,"2,700",2.72
이주형,2020,LG,"2,700",0.00
김윤식,2020,LG,"2,700",0.40
함창건,2020,LG,"2,700",0.00
강민,2020,LG,"2,700",0.00
박찬호,2020,LG,"2,700",0.00
김도환,2020,LG,"2,700",0.00
김태우,2020,LG,"2,700",0.00
이정우,2020,LG,"2,700",0.00
성재헌,2020,LG,"2,700",0.14
유영찬,2020,LG,"2,700",0.00
조용근,2020,LG,"2,700",0.00
하영진,2020,LG,"2,700",0.00
이재원,2020,LG,"2,700",-0.46
박부성,2020,LG,"2,700",0.00
김호은,2020,LG,"2,700",0.60
이동규,2020,LG,"2,700",0.00
천원석,2020,LG,"2,700",0.00
이찬혁,2020,LG,"2,700",0.01
한석현,2020,LG,"2,700",0.05
백남원,2020,LG,"2,700",0.00
임준형,2020,LG,"2,700",0.00
김성진,2020,LG,"2,700",0.00
남호,2020,LG,"2,700",0.20
문보경,2020,LG,"2,700",0.00
이정용,2020,LG,"2,700",0.53
이대호,2020,롯데,"250,000",1.89
손아섭,2020,롯데,"200,000",5.49
민병헌,2020,롯데,"125,000",-1.35
스트레일리,2020,롯데,"50,000",8.18
전준우,2020,롯데,"50,000",3.27
샘슨,2020,롯데,"50,000",1.69
마차도,2020,롯데,"30,000",4.53
안치홍,2020,롯데,"29,000",0.71
허문회,2020,롯데,"25,000",0.00
노경은,2020,롯데,"20,000",2.74
신본기,2020,롯데,"12,500",0.13
진명호,2020,롯데,"12,500",0.08
박세웅,2020,롯데,"11,000",2.74
김원중,2020,롯데,"10,000",0.98
고효준,2020,롯데,"10,000",0.06
박진형,2020,롯데,"9,000",0.15
구승민,2020,롯데,"8,000",1.22
박시영,2020,롯데,"7,900",-0.31
정훈,2020,롯데,"6,400",2.29
김유영,2020,롯데,"6,200",0.17
오현택,2020,롯데,"6,000",0.76
지성준,2020,롯데,"5,700",0.16
김건국,2020,롯데,"5,400",0.65
강로한,2020,롯데,"5,300",0.01
강동호,2020,롯데,"5,100",-0.17
이병규,2020,롯데,"5,000",0.85
송승준,2020,롯데,"5,000",-0.09
한동희,2020,롯데,"4,700",2.74
서준원,2020,롯데,"4,600",1.31
김동한,2020,롯데,"4,500",-0.24
나균안,2020,롯데,"4,300",0.00
허일,2020,롯데,"4,100",-0.69
오윤석,2020,롯데,"4,000",1.02
김대륙,2020,롯데,"3,800",0.00
고승민,2020,롯데,"3,800",0.00
김준태,2020,롯데,"3,800",2.18
최영환,2020,롯데,"3,400",-0.06
