순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,연도,연봉(만원),WAR,후년연봉,연차
6,이대호,롯데,0.292,144,611,542,67,158,27,0,20,245,110,0,11,53,9,5,68,21,0.452,0.354,0.806,40,0.323,0.667,2020,250000,1.89,80000,20
7,이대호,롯데,0.286,114,465,420,39,120,11,0,19,188,81,0,6,34,3,5,50,12,0.448,0.342,0.79,36,0.256,0.143,2021,80000,0.88,80000,21
27,이도윤,한화,0.208,14,25,24,3,5,1,0,0,6,1,0,0,1,0,0,6,0,0.25,0.24,0.49,0,0.2,0,2020,3000,-0.09,3200,6
22,이도윤,한화,0.175,56,68,63,5,11,0,0,0,11,2,1,0,4,0,0,18,1,0.175,0.224,0.399,1,0.063,0,2021,3200,-0.44,3400,7
22,이도윤,한화,0.159,80,126,113,9,18,7,0,1,28,8,4,1,8,0,0,30,1,0.248,0.213,0.461,2,0.208,0.1,2022,3400,-0.36,3400,8
7,이도윤,한화,0.252,106,346,309,36,78,13,2,1,98,13,15,0,18,1,4,55,6,0.317,0.302,0.619,19,0.144,0.333,2023,3400,2.27,7500,9
8,이명기,NC,0.306,136,540,477,82,146,18,3,2,176,45,5,4,50,0,4,78,6,0.369,0.374,0.743,41,0.311,0.154,2020,24000,2.58,27000,15
3,이명기,NC,0.293,56,232,191,30,56,12,0,2,74,14,3,0,37,0,1,27,2,0.387,0.41,0.797,18,0.3,0.25,2021,27000,0.76,17500,16
20,이명기,한화,0.175,14,42,40,2,7,1,0,0,8,5,0,0,2,0,0,9,0,0.2,0.214,0.414,2,0.2,0,2023,5000,-0.29,5000,18
1,이병헌,삼성,0.75,3,4,4,1,3,1,0,0,4,1,0,0,0,0,0,1,0,1,0.75,1.75,1,0.5,0,2022,3000,0.17,3400,4
27,이병헌,삼성,0.143,23,33,28,3,4,0,0,0,4,2,1,1,3,0,0,11,0,0.143,0.219,0.362,1,0.111,0,2023,3400,-0.31,4000,5
10,이영빈,LG,0.243,72,169,148,21,36,9,0,2,51,16,2,1,15,0,3,51,1,0.345,0.323,0.668,7,0.297,0.467,2021,3000,0.26,5500,1
3,이용규,키움,0.296,133,547,459,88,136,16,8,1,171,43,6,6,71,2,5,46,5,0.373,0.392,0.765,38,0.276,0.333,2021,10000,3.98,40000,18
17,이용규,키움,0.199,86,326,271,34,54,6,0,0,60,21,1,2,45,0,7,42,7,0.221,0.326,0.547,12,0.211,0.154,2022,40000,0.19,30000,19
18,이용규,키움,0.234,50,178,154,19,36,0,3,0,42,11,2,2,19,0,1,22,3,0.273,0.318,0.591,9,0.296,0.125,2023,30000,-0.43,20000,20
23,이우성,KIA,0.203,48,67,59,5,12,1,0,0,13,3,0,0,6,0,2,11,2,0.22,0.299,0.519,1,0.125,0.267,2020,4000,-0.23,4100,8
19,이우성,KIA,0.2,65,100,85,12,17,5,0,0,22,4,1,1,13,0,0,17,2,0.259,0.303,0.562,2,0.111,0.5,2021,4100,0.49,4100,9
7,이우성,KIA,0.292,80,137,120,23,35,7,0,1,45,12,4,0,12,0,1,20,5,0.375,0.361,0.736,7,0.258,0.333,2022,4100,0.14,5500,10
6,이우성,KIA,0.301,126,400,355,39,107,17,0,8,148,58,6,3,31,4,5,81,10,0.417,0.363,0.78,24,0.32,0.5,2023,5500,2.66,13000,11
13,이원석,삼성,0.268,121,467,403,46,108,17,0,13,164,74,1,12,49,1,2,82,7,0.407,0.341,0.748,27,0.336,0,2020,30000,0.14,30000,16
16,이원석,삼성,0.231,131,480,399,40,92,19,0,9,138,59,2,8,60,2,11,80,11,0.346,0.341,0.687,18,0.309,0.25,2021,30000,1.01,30000,17
