순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,연도,현재연봉,WAR_x,예측연봉,tier,salary_changed,mean_ERA,park_factor
16,한현희,키움,4.98,25,7,9,0,0,0.438,135.0,0.6,141,37,14,109,77,75,1.31,0,0,9,0,587,2245,0.266,20,1,5,0,2,3,2,2020,29000.0,2.33,29000.0,2.0,0.0,4.756261441365127,969
17,최원태,키움,5.07,21,7,6,0,0,0.538,110.0,115.0,16,37,7,67,68,62,1.38,0,0,9,0,478,1734,0.269,16,1,4,2,2,6,0,2020,37000.0,1.49,29000.0,2.0,-8000.0,4.756261441365127,969
18,이승호,키움,5.08,24,6,6,0,0,0.5,118.0,0.6,132,40,5,73,71,67,1.45,0,0,8,0,517,1941,0.284,20,1,4,4,0,3,1,2020,8500.0,2.1,10000.0,2.0,1500.0,4.756261441365127,969
20,조영건,키움,5.28,20,3,3,0,0,0.5,44.0,0.3,47,27,4,23,30,26,1.67,0,0,0,0,207,800,0.269,7,1,1,0,1,0,1,2020,2700.0,0.08,3800.0,3.0,1100.0,4.756261441365127,969
21,조성운,키움,5.4,42,1,1,0,1,0.5,45.0,48.0,6,19,2,29,30,27,1.49,0,0,0,0,201,789,0.277,11,1,3,4,1,2,0,2020,3000.0,-0.02,4500.0,3.0,1500.0,4.756261441365127,969
1,정우영,LG,3.12,65,4,4,5,20,0.5,75.0,48.0,3,29,11,59,26,26,1.03,0,0,0,4,305,1129,0.185,5,0,4,1,3,1,0,2020,8000.0,2.03,18000.0,1.0,10000.0,4.756261441365127,939
2,켈리,LG,3.32,28,15,7,0,0,0.682,173.0,0.3,160,40,11,134,67,64,1.15,1,1,20,0,705,2621,0.247,29,1,3,4,0,4,0,2020,90000.0,5.57,70000.0,0.0,-20000.0,4.756261441365127,939
3,최동환,LG,3.47,54,4,1,0,4,0.8,57.0,54.0,6,12,2,42,23,22,1.16,0,0,0,2,228,790,0.261,10,1,1,6,0,3,0,2020,7000.0,0.95,12000.0,3.0,5000.0,4.756261441365127,939
6,이민호,LG,3.69,20,4,4,0,0,0.5,97.0,0.6,94,44,10,67,46,40,1.41,0,0,7,0,434,1712,0.249,19,0,2,1,1,4,1,2020,2700.0,2.72,7000.0,2.0,4300.0,4.756261441365127,939
7,이정용,LG,3.71,34,3,0,0,4,1.0,34.0,32.0,6,14,2,33,15,14,1.35,0,0,0,1,147,585,0.248,5,0,1,1,0,0,1,2020,2700.0,0.53,5000.0,3.0,2300.0,4.756261441365127,939
9,임찬규,LG,4.08,27,10,9,0,0,0.526,147.0,0.6,143,65,5,138,76,67,1.41,0,0,10,0,641,2601,0.253,29,2,2,4,0,4,0,2020,13500.0,2.83,22000.0,0.0,8500.0,4.756261441365127,939
10,고우석,LG,4.1,40,0,4,17,1,0.0,41.0,0.6,37,19,2,51,22,19,1.34,0,0,0,4,183,714,0.234,9,0,2,2,1,5,0,2020,22000.0,0.4,18000.0,3.0,-4000.0,4.756261441365127,939
12,진해수,LG,4.32,76,4,2,0,22,0.667,50.0,54.0,3,23,4,59,27,24,1.54,0,0,0,5,230,961,0.271,6,0,2,2,2,5,0,2020,25000.0,1.07,25000.0,1.0,0.0,4.756261441365127,939
14,송은범,LG,4.5,56,4,2,2,6,0.667,56.0,66.0,4,19,3,28,29,28,1.52,0,0,0,0,247,935,0.3,8,1,2,3,1,2,0,2020,27000.0,0.21,27000.0,1.0,0.0,4.756261441365127,939
15,차우찬,LG,5.34,13,5,5,0,0,0.5,64.0,71.0,8,28,2,51,39,38,1.55,0,0,6,0,287,1159,0.284,14,1,2,5,1,1,0,2020,100000.0,0.7,30000.0,1.0,-70000.0,4.756261441365127,939
17,김대현,LG,5.85,33,4,0,0,3,1.0,32.0,0.3,37,23,1,28,24,21,1.86,0,0,0,2,158,599,0.285,7,2,2,2,1,3,0,2020,12000.0,-0.08,8000.0,3.0,-4000.0,4.756261441365127,939
18,김윤식,LG,6.25,23,2,4,0,2,0.333,67.0,0.6,87,24,6,38,50,47,1.64,0,0,1,0,308,1165,0.323,16,1,4,5,0,2,1,2020,2700.0,0.4,5000.0,4.0,2300.0,4.756261441365127,939
1,스트레일리,롯데,2.5,31,15,4,0,0,0.789,194.0,0.6,148,51,7,205,61,54,1.02,0,0,21,0,777,3157,0.209,27,2,6,4,0,4,0,2020,50000.0,8.18,90000.0,0.0,40000.0,4.756261441365127,1043
2,김대우,롯데,3.1,46,0,1,0,0,0.0,49.0,0.3,48,26,2,43,22,17,1.5,0,0,0,0,216,797,0.259,11,0,2,1,1,5,1,2020,2900.0,0.92,5000.0,3.0,2100.0,4.756261441365127,1043
3,구승민,롯데,3.58,57,5,2,0,20,0.714,60.0,0.3,40,26,0,58,25,24,1.09,0,0,0,3,238,974,0.193,9,0,4,1,2,1,0,2020,8000.0,1.22,15000.0,1.0,7000.0,4.756261441365127,1043
4,오현택,롯데,3.75,48,3,1,0,7,0.75,36.0,37.0,5,8,2,17,15,15,1.25,0,0,0,1,152,575,0.262,6,1,1,0,1,1,0,2020,6000.0,0.76,7500.0,3.0,1500.0,4.756261441365127,1043
5,김원중,롯데,3.94,58,5,4,25,0,0.556,59.0,0.3,52,23,0,57,29,26,1.26,0,0,0,8,249,966,0.235,14,1,2,3,5,1,0,2020,10000.0,0.98,17000.0,1.0,7000.0,4.756261441365127,1043
6,이인복,롯데,3.97,47,1,4,0,2,0.2,45.0,0.3,57,12,1,21,22,20,1.52,0,0,0,1,199,681,0.315,9,0,4,1,1,2,0,2020,3000.0,0.38,4800.0,3.0,1800.0,4.756261441365127,1043
8,이승헌,롯데,4.66,8,3,2,0,0,0.6,36.0,0.6,34,11,2,34,25,19,1.23,0,0,2,0,157,651,0.241,2,1,3,0,1,2,1,2020,2700.0,0.6,4200.0,3.0,1500.0,4.756261441365127,1043
9,박세웅,롯데,4.7,28,8,10,0,0,0.444,147.0,0.3,177,47,8,108,85,77,1.52,0,0,8,0,658,2528,0.298,27,2,3,7,0,13,0,2020,11000.0,2.74,16500.0,0.0,5500.0,4.756261441365127,1043
11,노경은,롯데,4.87,25,5,10,0,0,0.333,133.0,139.0,19,40,3,77,76,72,1.35,1,0,11,0,574,2138,0.267,31,1,5,6,2,3,0,2020,20000.0,2.74,20000.0,2.0,0.0,4.756261441365127,1043
14,서준원,롯데,5.18,31,7,6,0,0,0.538,107.0,0.6,130,31,5,60,71,62,1.5,0,0,6,0,480,1850,0.298,18,0,6,2,1,3,0,2020,4600.0,1.31,8500.0,2.0,3900.0,4.756261441365127,1043
16,박진형,롯데,5.7,53,1,4,0,17,0.2,42.0,0.6,56,13,4,50,27,27,1.62,0,0,0,3,194,802,0.32,15,2,1,1,2,3,0,2020,9000.0,0.15,12000.0,3.0,3000.0,4.756261441365127,1043
5,구창모,NC,1.74,15,9,0,0,1,1.0,93.0,0.3,58,18,0,102,20,18,0.81,0,0,12,0,348,1378,0.177,12,0,2,1,0,2,0,2020,18000.0,4.89,25000.0,4.0,7000.0,4.756261441365127,1037
6,김진성,NC,2.66,48,3,0,0,6,1.0,47.0,0.3,41,10,0,56,16,14,1.08,0,0,0,1,190,727,0.232,8,2,1,2,1,2,0,2020,16000.0,1.08,20000.0,3.0,4000.0,4.756261441365127,1037
7,루친스키,NC,3.05,30,19,5,0,0,0.792,183.0,173.0,14,57,11,167,67,62,1.26,0,0,20,0,770,3001,0.25,12,3,10,1,0,11,0,2020,100000.0,6.87,130000.0,0.0,30000.0,4.756261441365127,1037
8,송명기,NC,3.7,36,9,3,0,0,0.75,87.0,0.6,78,39,2,72,37,36,1.33,0,0,2,2,372,1514,0.242,13,0,7,2,1,7,0,2020,2700.0,2.34,11000.0,4.0,8300.0,4.756261441365127,1037
10,원종현,NC,4.26,58,3,5,30,0,0.375,57.0,56.0,4,20,2,41,30,27,1.33,0,0,0,6,245,867,0.259,5,1,5,2,1,4,0,2020,26000.0,0.31,30000.0,1.0,4000.0,4.756261441365127,1037
11,임정호,NC,4.61,69,2,2,0,22,0.5,41.0,32.0,3,20,7,38,23,21,1.27,0,0,0,0,175,732,0.221,3,0,2,1,0,0,0,2020,9200.0,1.4,13000.0,3.0,3800.0,4.756261441365127,1037
14,김건태,NC,4.89,33,1,1,0,4,0.5,35.0,29.0,4,25,2,37,19,19,1.54,0,0,0,1,155,674,0.232,6,0,2,1,0,3,0,2020,9000.0,0.62,8000.0,3.0,-1000.0,4.756261441365127,1037
15,문경찬,NC,5.02,56,0,5,10,11,0.0,52.0,51.0,11,15,2,44,35,29,1.27,0,0,0,3,225,875,0.248,10,1,0,2,0,0,0,2020,11500.0,0.4,11500.0,1.0,0.0,4.756261441365127,1037
16,박진우,NC,5.23,43,2,2,0,7,0.5,43.0,47.0,2,13,6,22,29,25,1.4,0,0,0,1,194,741,0.281,7,0,4,4,1,0,0,2020,16000.0,-0.17,11500.0,3.0,-4500.0,4.756261441365127,1037
18,임창민,NC,5.26,44,7,2,0,11,0.778,37.0,0.6,39,23,2,44,26,22,1.65,0,0,0,1,179,692,0.262,10,1,3,2,1,3,0,2020,16000.0,-0.26,14000.0,3.0,-2000.0,4.756261441365127,1037
19,김영규,NC,5.45,20,2,2,0,1,0.5,67.0,0.6,83,14,2,55,47,41,1.43,0,0,4,0,296,1177,0.302,9,2,1,4,0,5,2,2020,6300.0,0.24,8300.0,4.0,2000.0,4.756261441365127,1037
20,신민혁,NC,5.79,17,2,3,0,0,0.4,42.0,57.0,10,13,3,26,27,27,1.67,0,0,1,0,196,715,0.317,7,0,0,0,0,0,0,2020,2700.0,0.27,4000.0,3.0,1300.0,4.756261441365127,1037
23,최성영,NC,6.08,14,2,4,0,0,0.333,60.0,0.6,67,35,3,27,45,41,1.68,0,0,2,0,278,1089,0.283,14,0,1,2,0,2,0,2020,9500.0,0.39,7200.0,1.0,-2300.0,4.756261441365127,1037
25,이재학,NC,6.55,19,5,6,0,0,0.455,90.0,0.6,105,43,5,61,66,66,1.63,0,0,5,0,410,1578,0.295,21,1,1,5,0,4,1,2020,27500.0,0.49,20000.0,4.0,-7500.0,4.756261441365127,1037
2,박민호,SSG,2.42,57,2,1,4,11,0.667,52.0,43.0,4,19,2,36,16,14,1.19,0,0,0,2,215,808,0.231,9,0,6,2,0,0,0,2020,10000.0,1.45,10000.0,3.0,0.0,4.756261441365127,1029
4,문승원,SSG,3.65,25,6,8,0,0,0.429,145.0,0.6,136,45,6,117,64,59,1.24,1,0,13,0,610,2338,0.248,29,0,5,5,0,2,0,2020,25700.0,4.23,25700.0,0.0,0.0,4.756261441365127,1029
5,서진용,SSG,4.13,63,2,7,8,12,0.222,61.0,52.0,11,34,1,56,33,28,1.41,0,0,0,5,264,1095,0.234,4,1,4,3,1,7,0,2020,20000.0,0.36,17000.0,1.0,-3000.0,4.756261441365127,1029
6,박종훈,SSG,4.81,29,13,11,0,0,0.542,157.0,0.3,146,78,22,134,90,84,1.42,0,0,10,0,691,2861,0.249,21,3,2,2,1,5,0,2020,29000.0,3.11,32000.0,0.0,3000.0,4.756261441365127,1029
10,이태양,SSG,5.46,53,2,1,0,4,0.667,56.0,68.0,8,16,1,45,35,34,1.5,0,0,0,0,250,939,0.301,12,1,4,3,2,3,0,2020,14000.0,0.37,10000.0,1.0,-4000.0,4.756261441365127,1029
13,이건욱,SSG,5.68,27,6,12,0,0,0.333,122.0,105.0,11,81,6,91,77,77,1.52,0,0,5,0,542,2241,0.234,16,4,1,6,0,6,1,2020,3000.0,1.84,3000.0,2.0,0.0,4.756261441365127,1029
14,김세현,SSG,5.79,42,2,0,1,7,1.0,42.0,44.0,7,22,1,35,28,27,1.57,0,0,0,2,187,751,0.28,7,0,5,2,0,1,0,2020,12000.0,-0.32,8000.0,3.0,-4000.0,4.756261441365127,1029
19,김태훈,SSG,7.4,33,1,6,0,4,0.143,62.0,61.0,8,39,4,43,52,51,1.61,0,0,2,1,281,1108,0.26,13,0,0,3,0,10,0,2020,24000.0,0.37,16000.0,1.0,-8000.0,4.756261441365127,1029
3,오승환,삼성,2.64,45,3,2,18,2,0.6,47.0,0.6,44,15,2,39,14,14,1.24,0,0,0,4,201,790,0.244,10,1,4,0,0,1,0,2020,120000.0,1.81,110000.0,3.0,-10000.0,4.756261441365127,1058
5,뷰캐넌,삼성,3.45,27,15,7,0,0,0.682,174.0,0.6,172,50,7,121,71,67,1.27,1,0,18,0,728,2819,0.261,19,2,8,4,0,2,0,2020,60000.0,5.71,90000.0,0.0,30000.0,4.756261441365127,1058
6,이승현,삼성,3.48,65,1,2,0,14,0.333,54.0,0.3,45,25,0,52,22,21,1.29,0,0,0,2,226,924,0.228,7,1,3,1,1,2,0,2020,10000.0,1.24,15000.0,1.0,5000.0,4.756261441365127,1058
7,최채흥,삼성,3.58,26,11,6,0,0,0.647,146.0,131.0,12,51,7,123,67,58,1.25,1,1,12,0,617,2516,0.237,27,1,2,4,0,3,3,2020,7500.0,4.22,16000.0,0.0,8500.0,4.756261441365127,1058
8,라이블리,삼성,4.26,21,6,7,0,0,0.462,112.0,98.0,11,39,12,95,54,53,1.22,0,0,7,0,478,1986,0.233,16,1,2,5,0,2,0,2020,50000.0,2.98,50000.0,2.0,0.0,4.756261441365127,1058
10,김윤수,삼성,4.66,61,3,5,0,12,0.375,58.0,66.0,6,31,1,41,34,30,1.67,0,0,0,3,266,1006,0.288,9,0,4,1,3,7,0,2020,3700.0,0.16,8000.0,1.0,4300.0,4.756261441365127,1058
11,허윤동,삼성,4.8,11,2,1,0,0,0.667,45.0,43.0,4,31,2,18,26,24,1.64,0,0,0,0,204,839,0.254,10,0,1,1,0,0,1,2020,2700.0,0.92,4500.0,3.0,1800.0,4.756261441365127,1058
12,최지광,삼성,4.87,51,1,3,0,15,0.25,44.0,0.3,34,31,3,45,24,24,1.47,0,0,0,6,199,781,0.218,5,0,5,4,4,5,0,2020,8000.0,0.68,12000.0,3.0,4000.0,4.756261441365127,1058
13,원태인,삼성,4.89,27,6,10,0,0,0.375,140.0,162.0,19,56,5,78,84,76,1.56,0,0,11,0,626,2372,0.289,32,1,3,1,2,6,0,2020,8000.0,2.44,13000.0,0.0,5000.0,4.756261441365127,1058
14,김대우,삼성,5.1,28,3,7,0,1,0.3,77.0,0.6,95,26,6,37,49,44,1.56,0,0,1,0,350,1346,0.304,17,1,1,4,0,1,1,2020,11500.0,0.91,15500.0,4.0,4000.0,4.756261441365127,1058
15,백정현,삼성,5.19,11,4,4,0,0,0.5,59.0,67.0,13,17,1,46,43,34,1.42,0,0,3,0,258,1047,0.285,15,2,1,4,0,1,0,2020,28000.0,0.36,25500.0,1.0,-2500.0,4.756261441365127,1058
