선수,출신학교
윤대경,서림초동인천중인천고
김종수,성동초덕수중울산공고
김인환,화순초화순중화순고성균관대
한승혁,도신초강남중덕수고
김태연,서울청구초덕수중야탑고
장진혁,광주화정초충장중광주제일고단국대
주현상,우암초청주중청주고동아대
김재영,방배초영동중서울고홍익대
이민우,순천북초순천이수중효천고경성대
장운호,중대초배명중배재고
이명기,서화초상인천중인천고
윤산흠,광주화정초진흥중영선고
이성곤,성동초잠신중경기고연세대
남지민,양정초개성중부산정보고
박정현,부천북초부천중유신고
이진영,둔촌초선린중선린고
최인호,송정동초광주동성중포철고
박상언,무원초영남중유신고
김기중,부곡초매송중유신고
박세혁,수유초신일중신일고고려대
박건우,역삼초서울이수중서울고
페디,
마틴,
박세혁,수유초신일중신일고고려대
구창모,남산초덕수중울산공고
손아섭,양정초개성중부산고
이용찬,신원초양천중장충고
이재학,옥산초경복중대구고
태너,
심창민,동삼초경남중경남고대구사이버대
김영규,광주서석초무등중광주제일고
신민혁,강서매향중야탑고
송명기,하남건대부중장충고
김성욱,서림초충장중진흥고
권희동,동천초경주중경주고경남대
임정호,성동초잠신중신일고성균관대
배재환,가동초잠신중서울고
김시훈,양덕초마산동중마산고
김주원,삼일초안산중앙중유신고
하준영,이수초성남중성남고
류진욱,양정초개성중부산고
최성영,영랑초설악중설악고
최정원,서원초청주중청주고
오영수,사파초신월중용마고
안중열,가야초개성중부산고
김진호,부곡초성일중광주동성고
배민서,대구수창초경운중상원고
김형준,가동초세광중세광고
이민호,수영초부산중부산고
박석민,율하초경복중대구고대구사이버대
도태훈,양정초개성중부산고동의대
정진기,화순초화순중화순고
서호철,순천남산초순천이수중효천고동의대
권정웅,이수초영동중덕수고한양대
박대온,도곡초서울이수중휘문고
윤형준,서림초무등중진흥고
한석현,대천중경남고
채원후,광주학강초광주동성중광주제일고
벤자민,
알포드,
황재균,사당초서울이수중경기고영남사이버대
박병호,영일초광명영남중성남고
슐서,
김상수,옥산초경복중경북고대구사이버대
장성우,감천초경남중경남고영남사이버대
쿠에바스,베네수엘라대
고영표,대성초광주동성중화순고동국대
김재윤,도곡초휘문중휘문고
배정대,도신초디지털문예대성남중성남고
소형준,의정부구리인창중유신고
조용호,성동초잠신중야탑고단국대
주권,우암초청주중청주고
강백호,부천북초서울이수중서울고
김민수,청원초청원중청원고성균관대
박경수,미성초성남중성남고방송통신대
배제성,백마초성남중성남고
엄상백,역삼초언북중덕수고
김민혁,서석초배재중배재고
신본기,감천초경남중경남고동아대
오윤석,화중초자양중경기고연세대
김준태,양정초개성중경남고영남사이버대
박시영,축현초신흥중제물포고영남사이버대
조현우,중앙초군산중군산상고전남과학대
이상호,옥산초경운중상원고영동대
조이현,송정동초배재중제주고
송민섭,청파초선린중선린고단국대
박영현,부천북초부천중유신고
이채호,김해엔젤스양산원동중용마고
김민,숭의초평촌중유신고
이호연,광주수창초진흥중광주제일고성균관대
문상철,중대초잠신중배명고고려대
장준원,경운초김해엔젤스개성중경남고
손동현,강서덕수중성남고
홍현빈,신곡초매송중유신고
김병희,창영초신흥중동산고동국대
하준호,하단초대동중경남고
김태오,연현초양천중서울고
요키시,미국대
이정후,광주서석초휘문중휘문고
후라도,
러셀,
이지영,서화초신흥중제물포고경성대
원종현,중앙초군산중군산상고
김혜성,고양동산중동산고
홍원기,공주중동초공주중공주고고려대
안우진,강남초서울이수중휘문고
이용규,성동초잠신중덕수정보고
김재웅,남양주자양중덕수고
이원석,광주학강초광주동성중광주동성고
